sales_id,step,type,sales_amount,nameOrig_x,nameDest_x,payment_id,payment_amount,nameOrig_y,nameDest_y,reconciliation_status,payment_provider,branch_id,settlement_delay_minutes,delayed_payment,suspicious_flag
SALE_0,9,CASH_OUT,225822.78,C334383768,C1208702024,PAY_0,225822.78,C334383768,C1208702024,RECONCILED,VISA,ACCRA_CENTRAL,156,YES,YES
SALE_1,9,CASH_OUT,367635.1,C636238397,C668849042,PAY_1,367635.1,C636238397,C668849042,RECONCILED,VODAFONE_CASH,KUMASI_MAIN,24,NO,YES
SALE_3,1,PAYMENT,3041.43,C1075082007,M554634433,PAY_3,3041.43,C1075082007,M554634433,RECONCILED,VODAFONE_CASH,EAST_LEGON,152,YES,YES
SALE_6,2,CASH_OUT,22948.44,C161069393,C738590621,PAY_6,22948.44,C161069393,C738590621,RECONCILED,MASTERCARD,ACCRA_CENTRAL,165,YES,YES
SALE_7,8,CASH_OUT,256373.9,C2111175734,C2029310301,PAY_7,256373.9,C2111175734,C2029310301,RECONCILED,AIRTELTIGO_MONEY,KUMASI_MAIN,151,YES,YES
SALE_8,9,CASH_OUT,342918.71,C1400167532,C1698371518,PAY_8,342918.71,C1400167532,C1698371518,RECONCILED,VODAFONE_CASH,ACCRA_CENTRAL,17,NO,YES
SALE_10,9,CASH_OUT,306706.41,C1144055341,C1299829127,PAY_10,306706.41,C1144055341,C1299829127,RECONCILED,VODAFONE_CASH,TAMALE_BRANCH,70,YES,YES
SALE_13,9,TRANSFER,1318689.53,C168710054,C1440158358,PAY_13,1318689.53,C168710054,C1440158358,RECONCILED,BANK_TRANSFER,TAMALE_BRANCH,28,NO,YES
SALE_15,9,CASH_OUT,427007.8,C1315793944,C1360767589,PAY_15,427007.8,C1315793944,C1360767589,RECONCILED,MTN_MOMO,KUMASI_MAIN,20,NO,YES
SALE_16,9,PAYMENT,41527.48,C1445205378,M1429423968,PAY_16,41527.48,C1445205378,M1429423968,RECONCILED,MTN_MOMO,KUMASI_MAIN,160,YES,YES
SALE_18,9,CASH_OUT,243544.41,C1652175545,C1768194414,PAY_18,243544.41,C1652175545,C1768194414,RECONCILED,MASTERCARD,EAST_LEGON,30,NO,YES
SALE_20,5,PAYMENT,4562.21,C817896503,M967306405,PAY_20,4562.21,C817896503,M967306405,RECONCILED,AIRTELTIGO_MONEY,KUMASI_MAIN,136,YES,YES
SALE_22,9,CASH_OUT,293410.04,C1947831958,C1932505292,PAY_22,293410.04,C1947831958,C1932505292,RECONCILED,BANK_TRANSFER,ACCRA_CENTRAL,90,YES,YES
SALE_23,9,CASH_OUT,380533.3,C504604457,C2106301831,PAY_23,380533.3,C504604457,C2106301831,RECONCILED,MASTERCARD,TEMA_BRANCH,16,NO,YES
SALE_26,1,PAYMENT,2279.65,C115086468,M1855112877,PAY_26,2279.65,C115086468,M1855112877,RECONCILED,AIRTELTIGO_MONEY,ACCRA_CENTRAL,170,YES,YES
SALE_28,9,CASH_OUT,310999.16,C1738364630,C1004116292,PAY_28,310999.16,C1738364630,C1004116292,RECONCILED,MTN_MOMO,ACCRA_CENTRAL,19,NO,YES
SALE_29,9,CASH_OUT,104379.05,C1439973972,C948005484,PAY_29,104379.05,C1439973972,C948005484,RECONCILED,MTN_MOMO,EAST_LEGON,164,YES,YES
SALE_30,8,CASH_IN,117713.09,C806029380,C1238707698,PAY_30,117713.09,C806029380,C1238707698,RECONCILED,MTN_MOMO,KUMASI_MAIN,159,YES,YES
SALE_33,8,CASH_OUT,174957.6,C465829684,C787040724,PAY_33,174957.6,C465829684,C787040724,RECONCILED,VODAFONE_CASH,KUMASI_MAIN,146,YES,YES
SALE_36,9,CASH_IN,79834.43,C1693183317,C1575652338,PAY_36,79834.43,C1693183317,C1575652338,RECONCILED,VISA,ACCRA_CENTRAL,156,YES,YES
SALE_37,9,CASH_OUT,17399.76,C1403138931,C1739974332,PAY_37,17399.76,C1403138931,C1739974332,RECONCILED,AIRTELTIGO_MONEY,EAST_LEGON,164,YES,YES
SALE_38,9,CASH_OUT,631733.6,C1138153336,C984805074,PAY_38,631733.6,C1138153336,C984805074,RECONCILED,MASTERCARD,EAST_LEGON,51,NO,YES
SALE_39,7,PAYMENT,6817.11,C1846806355,M1404855442,PAY_39,6817.11,C1846806355,M1404855442,RECONCILED,MASTERCARD,ACCRA_CENTRAL,171,YES,YES
SALE_41,8,CASH_OUT,207569.86,C2115095462,C1991252420,PAY_41,207569.86,C2115095462,C1991252420,RECONCILED,AIRTELTIGO_MONEY,TAMALE_BRANCH,100,YES,YES
SALE_43,8,TRANSFER,582439.11,C1635082429,C1210002123,PAY_43,582439.11,C1635082429,C1210002123,RECONCILED,VODAFONE_CASH,TAMALE_BRANCH,21,NO,YES
SALE_46,8,CASH_OUT,223641.11,C1676169782,C1816986148,PAY_46,223641.11,C1676169782,C1816986148,RECONCILED,VODAFONE_CASH,TEMA_BRANCH,131,YES,YES
SALE_47,7,CASH_IN,314770.11,C1189317672,C909295153,PAY_47,314770.11,C1189317672,C909295153,RECONCILED,BANK_TRANSFER,ACCRA_CENTRAL,2,NO,YES
SALE_52,2,PAYMENT,11163.43,C1806640599,M1470540083,PAY_52,11163.43,C1806640599,M1470540083,RECONCILED,AIRTELTIGO_MONEY,ACCRA_CENTRAL,130,YES,YES
SALE_53,9,TRANSFER,4239019.21,C1533794266,C2078448324,PAY_53,4239019.21,C1533794266,C2078448324,RECONCILED,VODAFONE_CASH,ACCRA_CENTRAL,151,YES,YES
SALE_54,9,CASH_IN,500382.62,C1782690494,C1669259232,PAY_54,500382.62,C1782690494,C1669259232,RECONCILED,MTN_MOMO,TEMA_BRANCH,135,YES,YES
SALE_55,9,CASH_IN,8479.76,C1633358935,C713987035,,,,,UNMATCHED,AIRTELTIGO_MONEY,TAMALE_BRANCH,154,YES,YES
SALE_56,9,CASH_OUT,148273.06,C1499051085,C142585591,PAY_56,148273.06,C1499051085,C142585591,RECONCILED,MASTERCARD,TAMALE_BRANCH,128,YES,YES
SALE_61,9,CASH_OUT,201964.46,C1807031166,C1316560467,PAY_61,201964.46,C1807031166,C1316560467,RECONCILED,MASTERCARD,KUMASI_MAIN,156,YES,YES
SALE_63,9,CASH_OUT,146629.83,C1207765645,C1721892488,PAY_63,146629.83,C1207765645,C1721892488,RECONCILED,BANK_TRANSFER,ACCRA_CENTRAL,131,YES,YES
SALE_65,8,PAYMENT,1909.8,C52119148,M634113842,PAY_65,1909.8,C52119148,M634113842,RECONCILED,MTN_MOMO,TAMALE_BRANCH,172,YES,YES
SALE_66,8,PAYMENT,3887.52,C2080798139,M2141858544,PAY_66,3887.52,C2080798139,M2141858544,RECONCILED,MASTERCARD,TEMA_BRANCH,131,YES,YES
SALE_69,8,CASH_OUT,268850.72,C739848691,C705480294,PAY_69,268850.72,C739848691,C705480294,RECONCILED,MASTERCARD,ACCRA_CENTRAL,74,YES,YES
SALE_70,8,CASH_IN,34610.19,C1910410208,C1058664855,PAY_70,34610.19,C1910410208,C1058664855,RECONCILED,VODAFONE_CASH,KUMASI_MAIN,131,YES,YES
SALE_71,8,PAYMENT,3514.95,C1947682027,M1154865135,PAY_71,3514.95,C1947682027,M1154865135,RECONCILED,MTN_MOMO,EAST_LEGON,135,YES,YES
SALE_73,9,CASH_OUT,79232.22,C1668392927,C1756132760,PAY_73,79232.22,C1668392927,C1756132760,RECONCILED,BANK_TRANSFER,TEMA_BRANCH,171,YES,YES
SALE_74,9,CASH_OUT,307364.57,C1230183814,C1370787297,PAY_74,307364.57,C1230183814,C1370787297,RECONCILED,VISA,KUMASI_MAIN,167,YES,YES
SALE_76,9,CASH_IN,56220.75,C1456320582,C310737318,PAY_76,56220.75,C1456320582,C310737318,RECONCILED,VODAFONE_CASH,ACCRA_CENTRAL,132,YES,YES
SALE_77,7,PAYMENT,4568.07,C186481417,M105885501,,,,,UNMATCHED,BANK_TRANSFER,EAST_LEGON,141,YES,YES
SALE_79,7,CASH_OUT,442011.3,C1955002943,C798678484,PAY_79,442011.3,C1955002943,C798678484,RECONCILED,MASTERCARD,TAMALE_BRANCH,10,NO,YES
SALE_81,8,CASH_OUT,17761.8,C1453762180,C1530086509,PAY_81,17761.8,C1453762180,C1530086509,RECONCILED,AIRTELTIGO_MONEY,TAMALE_BRANCH,178,YES,YES
SALE_84,9,TRANSFER,1203137.66,C1565835436,C1853763800,PAY_84,1203137.66,C1565835436,C1853763800,RECONCILED,AIRTELTIGO_MONEY,TAMALE_BRANCH,102,YES,YES
SALE_85,9,CASH_OUT,264459.18,C873642546,C1949613364,PAY_85,264459.18,C873642546,C1949613364,RECONCILED,BANK_TRANSFER,TEMA_BRANCH,73,YES,YES
SALE_87,7,PAYMENT,26290.58,C631120734,M1666453188,PAY_87,26290.58,C631120734,M1666453188,RECONCILED,MASTERCARD,EAST_LEGON,174,YES,YES
SALE_92,1,PAYMENT,9855.76,C465233746,M1175154004,PAY_92,9855.76,C465233746,M1175154004,RECONCILED,BANK_TRANSFER,KUMASI_MAIN,164,YES,YES
SALE_93,9,CASH_IN,222159.34,C1539455694,C280164607,PAY_93,222159.34,C1539455694,C280164607,RECONCILED,MTN_MOMO,KUMASI_MAIN,40,NO,YES
SALE_94,9,CASH_IN,62175.17,C318129221,C693147508,PAY_94,62175.17,C318129221,C693147508,RECONCILED,AIRTELTIGO_MONEY,TEMA_BRANCH,144,YES,YES
SALE_96,9,CASH_OUT,264233.92,C689001802,C1784469037,PAY_96,264233.92,C689001802,C1784469037,RECONCILED,VODAFONE_CASH,TAMALE_BRANCH,48,NO,YES
SALE_97,8,CASH_IN,332811.05,C792723112,C863811613,PAY_97,332811.05,C792723112,C863811613,RECONCILED,MASTERCARD,TEMA_BRANCH,76,YES,YES
SALE_99,9,CASH_OUT,426400.04,C746492352,C891020651,PAY_99,426400.04,C746492352,C891020651,RECONCILED,VISA,ACCRA_CENTRAL,77,YES,YES
SALE_102,8,CASH_IN,541492.86,C1433561138,C1383942363,PAY_102,541492.86,C1433561138,C1383942363,RECONCILED,VODAFONE_CASH,KUMASI_MAIN,115,YES,YES
SALE_103,9,PAYMENT,36695.1,C701182867,M1594649534,PAY_103,36695.1,C701182867,M1594649534,RECONCILED,MASTERCARD,KUMASI_MAIN,131,YES,YES
SALE_104,9,CASH_OUT,256293.1,C1213535911,C450960851,PAY_104,256293.1,C1213535911,C450960851,RECONCILED,AIRTELTIGO_MONEY,TAMALE_BRANCH,59,NO,YES
SALE_105,9,TRANSFER,584401.79,C1227982493,C1356359366,,,,,UNMATCHED,VODAFONE_CASH,KUMASI_MAIN,77,YES,YES
