step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
15,CASH_OUT,156597.85,C470187924,1281891.5,1125293.65,C1531852312,1233615.79,1533548.62,0.0,0.0
11,CASH_OUT,212419.21,C1634250011,483516.0,271096.79,C1052951038,1650457.26,2106627.91,0.0,0.0
40,PAYMENT,3480.7,C1189306722,0.0,0.0,M2133105439,0.0,0.0,0.0,0.0
8,PAYMENT,17411.13,C2096916622,21276.0,3864.87,M1911539017,0.0,0.0,0.0,0.0
15,CASH_OUT,28775.32,C839350033,55113.0,26337.68,C109145348,0.0,515720.17,0.0,0.0
14,PAYMENT,1952.44,C1642396435,0.0,0.0,M83542,0.0,0.0,0.0,0.0
12,PAYMENT,12796.26,C1742867585,76428.0,63631.74,M1471626704,0.0,0.0,0.0,0.0
19,CASH_OUT,38167.26,C4511397,0.0,0.0,C681979935,1173956.21,1222694.76,0.0,0.0
15,CASH_IN,156522.61,C118781958,3242653.94,3399176.55,C958180931,902855.19,1374725.9,0.0,0.0
37,CASH_OUT,381156.31,C1719207843,297742.0,0.0,C350185526,184085.24,565241.55,0.0,0.0
12,CASH_IN,92750.65,C826969998,563091.94,655842.6,C1946042854,280899.6,188148.95,0.0,0.0
13,PAYMENT,22510.77,C470808575,0.0,0.0,M331094003,0.0,0.0,0.0,0.0
15,PAYMENT,8406.8,C159079709,32345.72,23938.92,M1021431398,0.0,0.0,0.0,0.0
14,CASH_OUT,57625.95,C242199558,22795.0,0.0,C1369321967,0.0,57625.95,0.0,0.0
33,PAYMENT,9568.11,C1215605692,18365.23,8797.11,M124504537,0.0,0.0,0.0,0.0
21,CASH_OUT,141884.56,C93745462,176899.25,35014.69,C472047255,2204114.13,2345998.69,0.0,0.0
15,TRANSFER,762801.63,C203641255,11541.0,0.0,C1818201641,767589.04,1530390.68,0.0,0.0
11,PAYMENT,6186.32,C1099982674,921196.58,915010.26,M1693127714,0.0,0.0,0.0,0.0
41,TRANSFER,381807.51,C457356115,0.0,0.0,C1162812870,2189684.97,2508035.19,0.0,0.0
13,CASH_OUT,154065.63,C1085815864,0.0,0.0,C904600731,1076866.91,1230932.54,0.0,0.0
12,CASH_OUT,40014.01,C682791993,60157.0,20142.99,C1321580386,439558.6,479572.61,0.0,0.0
34,CASH_IN,234779.42,C651024339,44224.0,279003.42,C413243528,5323757.72,5088978.3,0.0,0.0
18,CASH_IN,283669.61,C1279321984,20247.0,303916.61,C755747182,1169531.21,885861.59,0.0,0.0
11,PAYMENT,7705.63,C319344334,13215.0,5509.37,M934235553,0.0,0.0,0.0,0.0
18,PAYMENT,961.31,C807560600,11679.82,10718.51,M408790929,0.0,0.0,0.0,0.0
40,CASH_OUT,238990.55,C1024162906,0.0,0.0,C218555468,2511022.19,2750012.74,0.0,0.0
17,PAYMENT,986.69,C78770156,196119.0,195132.31,M510043159,0.0,0.0,0.0,0.0
35,CASH_IN,33510.09,C177391268,28071.0,61581.09,C765374362,440162.59,406652.49,0.0,0.0
36,CASH_IN,146126.46,C858189046,1744943.03,1891069.49,C661798192,4441418.34,4295291.89,0.0,0.0
37,PAYMENT,17082.21,C745166037,42896.32,25814.11,M328508663,0.0,0.0,0.0,0.0
22,CASH_IN,276287.26,C1662341533,22044.0,298331.26,C2132979798,0.0,0.0,0.0,0.0
18,PAYMENT,4980.79,C1229565570,6807.06,1826.27,M120460891,0.0,0.0,0.0,0.0
40,CASH_IN,217914.69,C137015824,1486310.95,1704225.64,C1820811459,1176429.87,958515.18,0.0,0.0
42,CASH_OUT,280263.74,C889606457,13003.0,0.0,C1062622385,0.0,280263.74,0.0,0.0
42,CASH_OUT,221644.7,C1669051070,42028.0,0.0,C2118562090,621819.08,570831.2,0.0,0.0
42,PAYMENT,9354.87,C510401398,0.0,0.0,M576837360,0.0,0.0,0.0,0.0
38,PAYMENT,10786.05,C51818694,38823.17,28037.12,M1606534475,0.0,0.0,0.0,0.0
25,PAYMENT,9726.35,C1206909636,328426.0,318699.65,M1499428489,0.0,0.0,0.0,0.0
37,CASH_IN,1310.56,C1607748489,330.0,1640.56,C1080379952,75608.28,74297.72,0.0,0.0
44,PAYMENT,1918.52,C1866519247,0.0,0.0,M2057468966,0.0,0.0,0.0,0.0
19,CASH_OUT,117206.07,C1634495836,14604.0,0.0,C1923077600,475174.94,631605.1,0.0,0.0
18,CASH_OUT,6592.91,C1082002529,104638.0,98045.09,C1176181879,595418.78,40925.67,0.0,0.0
38,PAYMENT,3936.5,C551603576,0.0,0.0,M886185120,0.0,0.0,0.0,0.0
39,CASH_OUT,280863.86,C493563979,32157.0,0.0,C1864721445,0.0,0.0,0.0,0.0
35,PAYMENT,26714.87,C1727982454,0.0,0.0,M1883808153,0.0,0.0,0.0,0.0
13,PAYMENT,12531.52,C932693632,26355.0,13823.48,M1261419942,0.0,0.0,0.0,0.0
12,PAYMENT,4486.94,C1667968196,156798.39,152311.45,M288930191,0.0,0.0,0.0,0.0
17,TRANSFER,644488.17,C758588749,618.0,0.0,C1828047633,6219422.64,6863910.8,0.0,0.0
18,CASH_OUT,165700.05,C2119590193,103128.8,0.0,C1334701081,296911.52,462611.57,0.0,0.0
15,CASH_OUT,239452.74,C1594382203,120369.0,0.0,C1844465462,0.0,239452.74,0.0,0.0
18,CASH_OUT,304251.45,C1999802175,15729.0,0.0,C800720969,123.0,285602.29,0.0,0.0
17,CASH_IN,280915.19,C1227663548,5006.0,285921.19,C1276292133,0.0,0.0,0.0,0.0
15,CASH_IN,33630.93,C1506470619,8070648.5,8104279.44,C358635917,774859.13,919213.25,0.0,0.0
36,PAYMENT,3423.11,C1781188021,537.0,0.0,M919499974,0.0,0.0,0.0,0.0
9,PAYMENT,34848.81,C1323551000,146041.9,111193.09,M1049743083,0.0,0.0,0.0,0.0
40,PAYMENT,3361.42,C1279504477,0.0,0.0,M1720210041,0.0,0.0,0.0,0.0
40,CASH_IN,224606.38,C717752369,15034961.29,15259567.68,C2008647667,9888323.9,9663717.52,0.0,0.0
18,CASH_IN,471396.46,C1278221975,5612946.84,6084343.3,C463908586,3254442.67,2783046.21,0.0,0.0
18,TRANSFER,300618.82,C1536767659,0.0,0.0,C1038898401,2583619.03,2836396.94,0.0,0.0
14,PAYMENT,10435.19,C568744745,6161.0,0.0,M692962948,0.0,0.0,0.0,0.0
34,PAYMENT,13181.08,C1989326922,520065.09,506884.01,M340876821,0.0,0.0,0.0,0.0
21,CASH_OUT,251686.52,C1585369484,857.0,0.0,C2016621759,86750.32,338436.84,0.0,0.0
8,PAYMENT,14739.11,C1737562006,62097.04,47357.93,M313869841,0.0,0.0,0.0,0.0
42,CASH_IN,305402.27,C1302261254,3334556.62,3639958.89,C1106043090,2452909.85,2147507.58,0.0,0.0
15,CASH_OUT,75216.76,C859900273,0.0,0.0,C1323501341,8290594.31,8436582.09,0.0,0.0
17,PAYMENT,11350.72,C1161796601,27031.0,15680.28,M1477799612,0.0,0.0,0.0,0.0
38,CASH_OUT,134922.98,C1249666328,50912.0,0.0,C375524997,0.0,134922.98,0.0,0.0
42,PAYMENT,7724.23,C220975131,109053.45,101329.22,M1473629237,0.0,0.0,0.0,0.0
13,CASH_IN,165198.9,C1258953310,1286894.31,1452093.21,C212121786,1210878.23,1045679.32,0.0,0.0
19,CASH_IN,240351.23,C989675540,42431.0,282782.23,C148264391,18918.58,0.0,0.0,0.0
11,PAYMENT,11205.15,C46794319,762546.35,751341.2,M696639081,0.0,0.0,0.0,0.0
13,PAYMENT,22554.54,C1586826466,61073.0,38518.46,M286084167,0.0,0.0,0.0,0.0
43,PAYMENT,16343.22,C457113864,179810.0,163466.78,M780052358,0.0,0.0,0.0,0.0
34,CASH_OUT,111697.16,C597266791,3325.0,0.0,C1061595493,0.0,193172.08,0.0,0.0
7,TRANSFER,335174.65,C1062938711,0.0,0.0,C1040847151,3869992.34,7984433.54,0.0,0.0
16,CASH_OUT,88561.77,C1856502913,0.0,0.0,C287588933,574010.34,1267741.86,0.0,0.0
41,PAYMENT,7733.37,C298065490,0.0,0.0,M656815112,0.0,0.0,0.0,0.0
12,CASH_OUT,47210.36,C2081729612,627.0,0.0,C346425664,220060.2,0.0,0.0,0.0
20,CASH_OUT,137738.83,C1814265715,20500.0,0.0,C1053165356,30374.0,10068410.51,0.0,0.0
13,TRANSFER,1204052.36,C83873467,48857.0,0.0,C953280601,202666.39,1406718.75,0.0,0.0
38,CASH_OUT,77857.81,C497591137,0.0,0.0,C868897431,1454764.31,1532622.11,0.0,0.0
43,CASH_OUT,103715.26,C1389779400,352156.21,248440.95,C73501160,195843.42,373828.16,0.0,0.0
38,CASH_OUT,464013.28,C654883732,0.0,0.0,C686652833,1340974.71,1804987.98,0.0,0.0
43,CASH_IN,117354.48,C112053909,20231817.73,20349172.2,C1634601518,193903.14,76548.66,0.0,0.0
14,CASH_OUT,234846.57,C1231419094,55476.0,0.0,C1293499473,295608.34,502646.05,0.0,0.0
12,PAYMENT,8583.06,C1318163086,1000.87,0.0,M68529125,0.0,0.0,0.0,0.0
44,TRANSFER,266994.02,C1753702835,31297.0,0.0,C58758335,89829.5,356823.53,0.0,0.0
41,CASH_IN,118364.01,C1702209448,21538.0,139902.01,C1120829019,3389970.65,3271606.64,0.0,0.0
42,CASH_IN,76354.39,C668624435,39276.0,115630.39,C57549813,643735.46,1173674.93,0.0,0.0
16,CASH_OUT,30051.59,C408217837,192720.0,162668.41,C195132477,1943166.72,2373482.34,0.0,0.0
11,CASH_IN,320324.61,C1700415073,152933.47,473258.07,C1308781334,34748.97,509097.94,0.0,0.0
12,CASH_IN,454413.09,C874885127,233.0,454646.09,C1523045005,0.0,0.0,0.0,0.0
17,PAYMENT,21643.07,C1729954426,0.0,0.0,M571062024,0.0,0.0,0.0,0.0
22,PAYMENT,156.69,C1078766292,70712.0,70555.31,M1259083791,0.0,0.0,0.0,0.0
13,PAYMENT,337.79,C2071874353,0.0,0.0,M2123791236,0.0,0.0,0.0,0.0
10,CASH_IN,179257.24,C1509297939,23023.06,202280.3,C918594222,16274.22,0.0,0.0,0.0
11,CASH_OUT,282203.55,C1470955000,417607.79,135404.24,C1058556603,518737.04,800940.59,0.0,0.0
20,CASH_OUT,163383.47,C704577890,30336.0,0.0,C226470331,637322.85,901696.7,0.0,0.0
34,TRANSFER,234400.7,C1585138773,0.0,0.0,C2002219734,1234621.13,1469021.83,0.0,0.0
16,PAYMENT,27215.99,C514099912,50101.89,22885.9,M1079601473,0.0,0.0,0.0,0.0
15,PAYMENT,1829.23,C24870835,160563.38,158734.15,M1783894690,0.0,0.0,0.0,0.0
18,CASH_IN,78135.86,C1907332537,14066009.23,14144145.09,C391667874,2392186.28,2314050.43,0.0,0.0
14,CASH_OUT,62053.34,C251608629,510532.85,448479.51,C747259902,352823.62,684884.33,0.0,0.0
12,TRANSFER,872034.04,C146988760,51808.0,0.0,C1867096421,609353.58,1314049.58,0.0,0.0
18,CASH_IN,54075.29,C1667644504,1216567.45,1270642.74,C2114887654,218934.38,45009.52,0.0,0.0
43,CASH_OUT,101321.17,C1391927866,0.0,0.0,C2049474020,1792470.84,1893792.01,0.0,0.0
44,PAYMENT,2287.85,C1951916641,206952.0,204664.15,M366498089,0.0,0.0,0.0,0.0
20,CASH_OUT,191181.32,C1391216498,0.0,0.0,C741698250,6814788.12,7005969.43,0.0,0.0
36,CASH_IN,121825.73,C1907833522,49815.0,171640.73,C1596875113,173103.43,51277.7,0.0,0.0
43,PAYMENT,1701.95,C126294268,1801.81,99.85,M612725878,0.0,0.0,0.0,0.0
12,CASH_OUT,554013.36,C407979053,72206.0,0.0,C1564588329,49411.66,675534.52,0.0,0.0
39,CASH_OUT,132906.18,C1696687162,42177.0,0.0,C1638772938,91461.75,300068.99,0.0,0.0
20,CASH_OUT,102508.04,C1339640885,0.0,0.0,C234919230,141370.84,392943.07,0.0,0.0
15,PAYMENT,14823.69,C1573079840,312521.63,297697.94,M773608874,0.0,0.0,0.0,0.0
40,CASH_OUT,8778.83,C491975644,0.0,0.0,C1435887792,127166.7,135945.53,0.0,0.0
38,CASH_OUT,367194.51,C875957138,691.0,0.0,C2013854563,9277400.73,9644595.24,0.0,0.0
13,CASH_OUT,360761.28,C1811345692,276588.85,0.0,C1029052712,0.0,360761.28,0.0,0.0
8,CASH_IN,108171.85,C37408513,0.0,108171.85,C1638372110,460833.44,1002856.87,0.0,0.0
34,PAYMENT,10284.3,C2033829418,0.0,0.0,M415125243,0.0,0.0,0.0,0.0
